filenames,embedding_0,embedding_1,embedding_2,embedding_3,embedding_4,embedding_5,embedding_6,embedding_7,embedding_8,embedding_9,embedding_10,embedding_11,embedding_12,embedding_13,embedding_14,embedding_15,embedding_16,embedding_17,embedding_18,embedding_19,embedding_20,embedding_21,embedding_22,embedding_23,embedding_24,embedding_25,embedding_26,embedding_27,embedding_28,embedding_29,embedding_30,embedding_31,labels
Cloud/cloudy1.jpg,1.2583387,1.8775846,-0.0672147,-0.33433762,-0.741262,-0.19285196,0.26169214,0.91298795,0.7646213,-0.4852356,-0.658393,-2.3701398,1.1031517,-0.961143,-1.4786315,0.2651429,1.9977489,-0.09031128,0.7891411,-1.7984698,-0.8510809,-1.8427994,0.5161968,2.6593394,-0.17801628,-0.094223484,2.7855728,1.9176306,-1.9726009,-1.4140702,1.2513539,0.9524333,0
Cloud/cloudy10.jpg,0.20052336,1.0370948,-1.4202725,-1.0578082,-0.29963073,-0.57062256,-0.19361323,-0.32822725,-0.2829572,0.6722473,1.1043328,-0.7259482,-0.6939725,-1.3030736,-0.18350688,-0.33245674,1.2269144,0.039193876,0.3345685,-0.24343283,-1.1845032,-1.2092044,0.86249304,1.1214586,-0.24696021,-0.49305046,1.2221674,1.6261318,-1.425179,-1.1636246,0.62312293,1.2784643,0
Cloud/cloudy100.jpg,0.064385675,1.33774,-2.4219553,-1.4583256,-0.52961767,-0.72117734,-1.1642325,-0.85440195,-0.31264257,1.5787969,0.99578834,0.04917491,-0.67653584,-2.2084289,0.6512672,-0.95048314,1.1590804,-0.15485108,-0.64254975,0.5804981,-1.1578188,-1.7660073,0.9123064,1.8212247,-0.58639073,-1.8595266,1.001932,2.194122,-1.4170847,-1.7191731,1.6902612,2.5041919,0
Cloud/cloudy101.jpg,0.5559032,0.9492159,-1.5811764,-0.9182131,0.031739675,-0.35092157,-0.21811636,-0.6323759,-0.03676503,1.0598978,1.3419458,-0.5768609,-0.18195514,-1.1067533,-0.34829974,-0.43562138,1.4783776,-0.17604338,-0.2829156,0.14283119,-1.1719636,-0.99823666,0.80531365,1.2199631,-0.3897059,-0.83407295,1.1794758,1.5847527,-1.5049974,-1.4705362,0.7688465,1.7405317,0
Cloud/cloudy102.jpg,1.2983797,2.2358499,-1.4491003,-0.55303997,-0.9065102,0.20963381,0.989957,0.9053128,0.39900672,-0.1995602,-1.036783,-2.0046232,1.2103397,-1.5765111,-1.1838971,0.5242671,1.8871948,0.23698914,0.7800963,-0.61808497,-1.0757463,-2.4303741,0.7904108,2.4520798,0.0806532,0.670685,2.370534,1.0612391,-1.0496458,-2.0637617,1.4930836,0.97632134,0
Cloud/cloudy103.jpg,0.6844428,1.8403006,-0.7220238,-1.2523961,-1.1907057,-0.16268742,-0.03784586,0.93326473,-0.15746409,0.4861805,-0.21738058,-1.910707,0.5348049,-1.5690229,-0.67193973,0.33451027,1.7140586,0.27736747,0.59113896,-0.5964151,-1.8850555,-2.6016333,0.8198825,2.670778,0.077810556,0.8453713,1.7318878,1.5848529,-1.8228507,-2.4407907,1.310535,1.1053185,0
Cloud/cloudy104.jpg,0.90734947,1.4253414,-1.2775078,-0.4617355,-0.42241305,-0.35664904,0.26472837,0.5180121,0.49030176,-0.0071442947,-0.5730784,-1.2639861,0.034194477,-1.3037074,-0.9405426,0.08298145,1.6592586,0.35889602,0.4110291,-0.67666477,-0.966561,-1.460104,0.81123376,1.951286,-0.013473865,-0.29503366,2.1943376,1.1747103,-1.3544738,-0.833565,1.2798923,0.9124677,0
Cloud/cloudy105.jpg,0.62356365,1.1285752,-0.6205079,-0.5048155,-0.5057606,-0.18204969,0.10554847,0.4575371,0.34915838,-0.084607735,-0.20391601,-1.1726433,0.062207248,-0.85989547,-0.72002405,0.015949177,1.2346073,-0.061464466,0.26712054,-0.57238305,-1.0578088,-1.2347655,0.5508548,1.3212123,-0.044824228,0.16055124,1.6266367,0.997733,-0.96688354,-1.080754,0.7038547,0.7105653,0
Cloud/cloudy106.jpg,1.3966144,2.4237354,-1.283612,-0.24220917,-1.2499361,-0.2609958,0.34565005,1.2781527,0.6786264,0.16309202,-1.2611724,-1.923861,1.6504016,-1.8923848,-1.5825969,0.7277256,1.8174042,-0.12591213,0.6808641,-1.3683698,-1.3222148,-2.3222322,0.96855533,3.3276083,0.30524504,-0.46242085,2.9300053,2.0239317,-1.4710342,-2.609377,2.069932,1.8112073,0
Cloud/cloudy107.jpg,0.5369598,1.434945,-1.2231227,-0.3824127,-1.0318277,-0.43231606,0.023789976,0.3170552,-0.08582592,0.085533604,0.014336683,-0.8417701,-0.080400504,-1.4392717,-0.6321941,0.44576907,1.0218486,-0.22012925,0.92254,-0.6361293,-0.6827364,-1.7367424,0.8077103,1.4279177,-0.01597007,-0.43073133,1.550446,1.3828692,-0.9973339,-1.1149447,1.0149958,1.0838985,0
